x,y,z
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.012568214711090819e+00,1.259946102983672933e+00,9.848896939420646035e-01
1.048830962957655544e+00,1.524054489185859396e+00,9.731123483776564775e-01
1.107227035314700458e+00,1.798398991414979609e+00,9.651573543846811987e-01
1.186901556722891771e+00,2.088665557931162819e+00,9.617370386877752697e-01
1.287610439580440858e+00,2.400322470520117601e+00,9.638088260340761382e-01
1.409648552204883165e+00,2.738764282008269824e+00,9.726158802832735040e-01
1.553797686703987102e+00,3.109433028254941611e+00,9.897465389738575592e-01
1.721289525497549100e+00,3.517920570401948055e+00,1.017213305572532089e+00
1.913781459668747686e+00,3.970051837530215177e+00,1.057554868441314744e+00
2.133341457827415244e+00,4.471949008302653183e+00,1.113964615719115647e+00
2.382439494263750568e+00,5.030072965313046041e+00,1.190450645320236367e+00
2.663942409818872648e+00,5.651236151327911017e+00,1.292032876797658547e+00
2.981108709431614212e+00,6.342577003247470202e+00,1.424983455041957114e+00
3.337579017936942893e+00,7.111481643836538247e+00,1.597116357151374899e+00
3.737356640551829035e+00,7.965432298209781159e+00,1.818130987895754336e+00
4.184770858328578313e+00,8.911754054563338912e+00,2.100011418979605082e+00
4.684413285066245436e+00,9.957222608926437957e+00,2.457476823885800243e+00
5.241034235622299420e+00,1.110748386802707977e+01,2.908467813737350749e+00
5.859382247554931311e+00,1.236622526501148656e+01,3.474635400169835187e+00
6.543965135623790452e+00,1.373402848535883081e+01,4.181771162886668058e+00
7.298706296367289070e+00,1.520682986141288850e+01,5.060076053517545525e+00
8.126465446063150466e+00,1.677392477012820038e+01,6.144106454310533039e+00
9.028391758866355588e+00,1.841549101722126736e+01,7.472162274176622709e+00
1.000308146815252819e+01,2.009969037946606107e+01,9.084796349925531089e+00
1.104552719198367861e+01,2.177956091564971786e+01,1.102205033024961622e+01
1.214587860950409137e+01,2.339015715604894297e+01,1.331899622992329846e+01
1.328809149668921030e+01,2.484673201909022922e+01,1.599926125314919290e+01
1.444862889039065657e+01,2.604513833796251276e+01,1.906653019766472923e+01
1.559549058381942821e+01,2.686592581249319878e+01,2.249465438551615648e+01
1.668796347837322713e+01,2.718357264503852377e+01,2.621797204706655293e+01
1.767755754370874754e+01,2.688158862963287987e+01,3.012459320313865163e+01
1.851054713046980993e+01,2.587260302135968004e+01,3.405624354884597693e+01
1.913229993383730587e+01,2.412012393592383930e+01,3.781803601169715279e+01
1.949312115643359888e+01,2.165624614533959758e+01,4.119952907106765139e+01
